State,"Jan.
2019","Nov.
2019","Dec.
2019","Jan.
2020(P)"
Alabama,269.2,268.7,268.7,269.2
Alaska,12.6,12.3,12.1,10.9
Arizona,175.3,178.3,177.8,178
Arkansas,162.9,162.1,161.9,160.7
California,"1,326.30","1,321.40","1,321.70","1,320.80"
Colorado,149.5,149.6,150.1,150.7
Connecticut,161.8,162.3,161.2,161.3
Delaware,27.4,27.1,27,27.1
District of Columbia(2),1.3,1.4,1.4,1.3
Florida,380.8,388.8,388.4,388.7
Georgia,406.3,403.9,403.3,403.4
Hawaii,14.3,13.9,14,14
Idaho,69,67.3,67.5,67.8
Illinois,590.9,578.7,577.8,577
Indiana,545.1,539.1,539.5,534.7
Iowa,225.8,226.5,225.3,224.5
Kansas,166.6,166.9,167,168.5
Kentucky,253,250.9,250.9,251.8
Louisiana,137.9,137.2,137.7,136.4
Maine,53.1,53.7,53.7,54.1
Maryland,111.5,113.8,113.6,113.7
Massachusetts,244.3,243.9,242.5,242.8
Michigan,629.1,627.2,629.1,629.5
Minnesota,324.6,322.4,320.8,323.3
Mississippi,146.3,147.9,148.4,147.7
Missouri,277.6,276.9,275.8,276.5
Montana,20.9,20.6,20.6,20.7
Nebraska,99.9,99.3,99.5,99.5
Nevada,59.7,59,59.3,59.2
New Hampshire,71.9,70.7,70.9,71.1
New Jersey,251.5,252.5,252.1,252.7
New Mexico,28,28.9,29,29.5
New York,442.9,439.2,437.3,437.6
North Carolina,478.6,479.2,479,477.8
North Dakota,26.4,26.3,26.1,26.1
Ohio,703.8,698.5,699.5,697.8
Oklahoma,141.4,138.8,138.9,137.6
Oregon,198.7,197.4,196.7,195.5
Pennsylvania,576.1,573.5,573.3,573.3
Rhode Island,40,39.5,39.5,39.3
South Carolina,256.2,258.6,257.9,258.8
South Dakota,45.2,44,44,44.1
Tennessee,354.4,353.3,355.3,354.4
Texas,900.5,910.2,910.1,907.5
Utah,135.7,136,136.6,136
Vermont,30,29.8,30,29.6
Virginia,243.9,244.4,243.6,240.4
Washington,293.3,292.6,294,294.8
West Virginia,47.5,46.6,46.4,46.3
Wisconsin,485.7,481.8,485.2,484.1
Wyoming,10.2,10.1,10,10.2
Puerto Rico,74.1,75.3,75.3,75.2